Price,Close,High,Low,Open,Volume,RSI,MACD,MACD_Signal,ATR
Ticker,^NSEI,^NSEI,^NSEI,^NSEI,^NSEI,,,,
Date,,,,,,,,,
2016-01-27,7437.75,7477.89990234375,7419.7001953125,7469.60009765625,187600,32.18063059395439,-108.42022634512341,-99.56980677310172,143.16427176339286
2016-01-28,7424.64990234375,7468.85009765625,7409.60009765625,7426.5,274500,34.983868505298645,-105.11319666517647,-100.67848475151668,130.91786411830358
2016-01-29,7563.5498046875,7575.64990234375,7402.7998046875,7413.35009765625,298700,37.17998739836937,-102.37334286739497,-101.01745637469234,136.67142159598214
2016-02-01,7555.9501953125,7600.4501953125,7541.25,7589.5,200400,53.585244854522756,-85.00824192299478,-97.81561348435284,141.65715680803572
2016-02-02,7455.5498046875,7576.2998046875,7428.0498046875,7566.64990234375,230200,48.759713909345685,-72.2571507747698,-92.70392094243624,146.0107421875
2016-02-03,7361.7998046875,7419.39990234375,7350.2998046875,7392.4501953125,192000,41.501009070345965,-75.33980925914057,-89.2310986057771,149.66786411830358
2016-02-04,7404.0,7457.0498046875,7365.9501953125,7411.4501953125,222700,46.898056131418365,-75.38075468981151,-86.46102982258398,144.67497907366072
2016-02-05,7489.10009765625,7503.14990234375,7406.64990234375,7418.25,249800,41.19596687789176,-74.01135994173546,-83.97109584641427,141.62496512276786
2016-02-08,7387.25,7512.5498046875,7363.2001953125,7489.7001953125,171500,54.65718630909402,-66.39530733706943,-80.4559381445453,136.20350864955358
2016-02-09,7298.2001953125,7323.4501953125,7275.14990234375,7303.9501953125,212100,45.63500450637408,-74.48933669424423,-79.26261785448509,144.48566545758928
2016-02-10,7215.7001953125,7271.85009765625,7177.75,7264.2998046875,246900,44.887478752808725,-83.14492548041471,-80.03907937967102,137.1142578125
2016-02-11,6976.35009765625,7208.64990234375,6959.9501953125,7203.60009765625,292300,40.86952399697854,-93.82099103924793,-82.79546171158641,148.23207310267858
2016-02-12,6980.9501953125,7034.7998046875,6869.0,7023.64990234375,333900,34.997500462182856,-115.47124611979507,-89.33061859322814,164.574951171875
2016-02-15,7162.9501953125,7182.7998046875,7056.7998046875,7057.35009765625,354200,29.976648251755904,-128.4294503759811,-97.15038494977874,166.55353655133928
2016-02-16,7048.25,7204.64990234375,7037.7001953125,7201.25,253800,38.535477623591035,-125.63911163900775,-102.84813028762456,174.32139369419642
2016-02-17,7108.4501953125,7123.7001953125,6960.64990234375,7058.85009765625,260000,35.521603173241886,-133.3807004321734,-108.95464431653434,187.22140066964286
2016-02-18,7191.75,7215.10009765625,7127.85009765625,7177.39990234375,246700,41.42030366797793,-128.4690753186169,-112.85753051695086,186.03567940848214
2016-02-19,7210.75,7226.85009765625,7145.9501953125,7170.5498046875,192300,32.62698754665146,-123.70334747494962,-115.02669390855063,178.449951171875
2016-02-22,7234.5498046875,7252.39990234375,7200.7001953125,7208.85009765625,154400,35.35048528239301,-115.50449633525295,-115.1222543938911,172.76422991071428
2016-02-23,7109.5498046875,7241.7001953125,7090.7001953125,7240.2998046875,194400,42.945877737964906,-105.25579592034592,-113.14896269918208,168.09636579241072
2016-02-24,7018.7001953125,7090.7998046875,7009.75,7075.0,199700,36.26453581087977,-109.2130002892045,-112.36177021718656,178.05709402901786
2016-02-25,6970.60009765625,7034.2001953125,6961.39990234375,7029.85009765625,283100,34.62513370617076,-114.67048309804886,-112.82351279335903,179.27852957589286
2016-02-26,7029.75,7052.89990234375,6985.10009765625,7039.2998046875,206700,31.250497997440505,-116.8856798022207,-113.63594619513137,173.45354352678572
2016-02-29,6987.0498046875,7094.60009765625,6825.7998046875,7050.4501953125,473400,37.652216268874824,-116.39971238609087,-114.18869943332326,177.32854352678572
2016-03-01,7222.2998046875,7235.5,7035.10009765625,7038.25,275100,38.686759977986895,-115.66571118885531,-114.48410178442968,182.62852260044642
2016-03-02,7368.85009765625,7380.35009765625,7308.14990234375,7321.7001953125,338500,54.83303606718282,-91.1610996710624,-109.81950136175624,185.32498604910714
2016-03-03,7475.60009765625,7483.9501953125,7406.0498046875,7429.5498046875,278600,67.65243132016894,-62.320069390215394,-100.31961496744808,173.01426478794642
2016-03-04,7485.35009765625,7505.89990234375,7444.10009765625,7505.39990234375,281700,68.79640691087087,-32.96290033275454,-86.84827204050937,167.09999302455358
2016-03-08,7485.2998046875,7527.14990234375,7442.14990234375,7486.39990234375,257000,63.36285583400034,-11.102293232662305,-71.69907627893997,161.24644252232142
2016-03-09,7531.7998046875,7539.0,7424.2998046875,7436.10009765625,245100,69.34913838873385,2.138964870489872,-56.931468049054004,152.25359235491072
2016-03-10,7486.14990234375,7547.10009765625,7447.39990234375,7545.35009765625,224700,69.05392106788251,21.20389398412135,-41.30439564241893,149.02144949776786
2016-03-11,7510.2001953125,7543.9501953125,7460.60009765625,7484.85009765625,198700,65.41897484862174,31.072953614640937,-26.82892579100696,149.29645647321428
2016-03-14,7538.75,7583.7001953125,7515.0498046875,7542.60009765625,166900,66.06653773069556,43.05785271416789,-12.85157008997199,150.5107421875
2016-03-15,7460.60009765625,7545.2001953125,7452.7998046875,7535.85009765625,193700,64.57420870676583,51.41858160736956,0.002460249496319733,146.32505580357142
2016-03-16,7498.75,7508.0,7405.14990234375,7457.0498046875,195400,70.59678280399575,51.096980228667235,10.221364245330502,139.19294084821428
2016-03-17,7512.5498046875,7585.2998046875,7479.39990234375,7557.39990234375,239600,76.84320943239842,58.267847562904535,19.83066090884531,140.23936244419642
2016-03-18,7604.35009765625,7613.60009765625,7517.89990234375,7534.64990234375,237400,74.8682041097079,61.40721259613474,28.145971246303198,142.23224748883928
2016-03-21,7704.25,7713.5498046875,7617.7001953125,7619.2001953125,196800,76.59324301493587,69.91178449607378,36.49913389625732,135.810791015625
2016-03-22,7714.89990234375,7728.2001953125,7643.7998046875,7695.5498046875,208900,78.99425693372298,81.8687622653024,45.573059570066334,129.2822265625
2016-03-23,7716.5,7726.85009765625,7670.60009765625,7717.4501953125,199600,72.69338329915543,92.05082715127537,54.868613086308144,108.86436244419643
